uid,facname,factype,latitude,longitude
92547,P.S. 188 Michael E. Berdy,Elementary School - Public,40.576549,-74.000727
161842,P.S. 151 Lyndon B. Johnson,Elementary School - Public,40.693382,-73.908294
162451,P.S. 008 Robert Fulton,K-8 School - Public,40.700747,-73.992824
8657,Isaac Newton Middle School For Math & Science,Junior High-Intermediate-Middle School - Public,40.79415,-73.933113
82669,Brooklyn High School Of The Arts,High school - Public,40.68398,-73.980287
78785,P.S. 229 Emanuel Kaplan,Elementary School - Public,40.734631,-73.897083
48540,St Hope Leadership Acad Charter Sch,Charter School,40.814915,-73.945442
105862,N.Y.C. Museum School,High school - Public,40.742569,-74.00236
162521,Rachel Carson High School For Coastal Studies,High school - Public,40.582486,-73.972165
134873,Coalition School For Social Change,High school - Public,40.79922,-73.933721
90129,P.S. 200 Benson School,Elementary School - Public,40.602927,-74.001801
23745,Lemon Creek Bluebelt,Elementary School,40.542454,-74.21106
42801,P.S. 149 Sojourner Truth,K-8 School - Public,40.802666,-73.948151
113145,Aviation Career & Technical Education High School,High school - Public,40.743495,-73.929454
111306,IS  2 & Playground,Intermediate School,40.577155,-74.100178
136930,Urban Science Academy,Junior High-Intermediate-Middle School - Public,40.827723,-73.913812
101595,The Maxine Greene HS For Imaginative Inquiry,High school - Public,40.7749,-73.98563
30223,J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle School - Public,40.849255,-73.930915
106869,P.S. 100 Isaac Clason,Elementary School - Public,40.821968,-73.862645
130511,IS 34 (Old Tottenville HS),Intermediate School,40.50777,-74.243621
115374,P.S. 132 The Conselyea School,Elementary School - Public,40.714844,-73.945746
137012,P.S. 035 Franz Siegel,Elementary School - Public,40.827565,-73.917923
69163,P.S. 360,Elementary School - Public,40.702419,-73.756266
62283,Blueprint Middle School,Junior High-Intermediate-Middle School - Public,40.829156,-73.857613
77612,Parkside Preparatory Academy,Junior High-Intermediate-Middle School - Public,40.656414,-73.951475
2597,East Elmhurst Community School,Elementary School - Public,40.76167,-73.871954
112951,P.S. 206 The Horace Harding School,Elementary School - Public,40.734108,-73.861004
104377,Hebrew Language Academy Charter,Charter School,40.612317,-73.914172
30123,Success Academy Charter School - Harlem 1,K-12 all grades School - Charter,40.74647,-73.980994
94371,P.S. 146 Howard Beach,K-8 School - Public,40.660521,-73.834777
104895,South Bronx Classical Charter IIi,Charter School,40.829541999999996,-73.906226
75537,P.S. 067 Mohegan School,Elementary School - Public,40.843897,-73.884338
33252,Dream Charter School,Charter School,40.788822,-73.944771
101400,P.S. 145 Andrew Jackson,Elementary School - Public,40.701456,-73.932285
106833,Bronx Bridges High School,High school - Public,40.821438,-73.855897
38059,Brooklyn School For Music & Theatre,High school - Public,40.669805,-73.96069
92749,Achievement First Crown Heights,Charter School,40.662068,-73.936441
97788,Academic High School,Academic High School,40.675596,-73.799783
61436,Millennium Brooklyn HS,High school - Public,40.669308,-73.978695
163115,Success Academy Cs Midtown West,Charter School,40.763581,-73.99085
77618,Explore Charter School,K-8 School - Charter,40.656414,-73.951475
196273,"Math, Eng, Sci Academy Charter High",Charter School,40.708683,-74.01166
197188,New Heights Academy Charter School,Charter School,40.828778,-73.945334
123760,P.S. 274 Kosciusko,Elementary School - Public,40.694409,-73.927966
50608,Newcomers High School,High school - Public,40.751602,-73.936811
83572,P.S. 001 Courtlandt School,Elementary School - Public,40.819233,-73.919248
74452,Leadership Preparatory Ocean Hill Charter School,K-12 all grades School - Charter,40.633717,-73.917621
71597,P.S. 188 Kingsbury,Elementary School - Public,40.735161,-73.754678
63534,P.S. 056 Norwood Heights,Elementary School - Public,40.875349,-73.87498
95894,P.S. 156 Laurelton,Elementary School - Public,40.672562,-73.743138
161071,P.S. 201 The Discovery School For Inquiry And Research,Elementary School - Public,40.736502,-73.81294
193208,Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,K-12 all grades School - Charter,40.681922,-73.945566
42347,Central Queens Academy Charter Schoo,Charter School,40.702575,-73.857672
118985,Battery Park City School,K-8 School - Public,40.706362,-74.017422
95936,Midwood High School,High school - Public,40.632831,-73.952316
19436,P.S. 174 William Sidney Mount,Elementary School - Public,40.720623,-73.861404
107396,Metropolitan Expeditionary Learning School,Secondary School - Public,40.708525,-73.855802
96951,J.H.S. 190 Russell Sage,Junior High-Intermediate-Middle School - Public,40.723171,-73.851731
90139,P.S. 054 Hillside,Elementary School - Public,40.702679,-73.824604
83813,Democracy Prep Endurance Charter,Charter School,40.810841,-73.94928
5275,Ember Charter School,Charter School,40.684616,-73.946912
61009,P.S. 135 Sheldon A. Brookner,Elementary School - Public,40.653284,-73.932968
138638,P.S. 032 Belmont,Elementary School - Public,40.85182,-73.886224
81809,The Jermaine L. Green Stem Institute Of Queens,Elementary School - Public,40.679742,-73.77449
122428,Leadership Prep Brownsville Charter,Charter School,40.666935,-73.907683
121542,International High School At Union Square,High school - Public,40.735319,-73.987085
30514,P.S. 506: The School Of Journalism & Technology,Elementary School - Public,40.641955,-74.019375
82669,Brooklyn High School Of The Arts,High school - Public,40.684276,-73.981105
75452,I.S. 119 The Glendale,K-8 School - Public,40.704983,-73.874949
97543,New Visions Charter High School For Advanced Math And Science,High school - Charter,40.877239,-73.91312
76610,Academy Of Public Relations,Junior High-Intermediate-Middle School - Public,40.818869,-73.905332
155181,South Bronx Community Charter High S,Charter School,40.821767,-73.92328
160887,PS 31. Plygd/Davis Plygd,Elementary School,40.641893,-74.085447
85544,P.S. 209 Margaret Mead,K-8 School - Public,40.586685,-73.961491
137110,P.S./I.S. 187 Hudson Cliffs,K-8 School - Public,40.856137,-73.93703
26342,P.S. 241 Emma L. Johnston,Elementary School - Public,40.668916,-73.960528
138385,P.S. 085 Great Expectations,Elementary School - Public,40.85883,-73.894845
47430,P.S. 102 Jacques Cartier,Elementary School - Public,40.794994,-73.938437
71632,Irwin Altman Middle School 172,Junior High-Intermediate-Middle School - Public,40.741645,-73.713246
74450,Leadership Prep Ocean Hill Charter,Charter School,40.672279,-73.906075
